tpep_pickup_datetime,tpep_dropoff_datetime,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,total_amount
01/09/2015 0:06,01/09/2015 0:10,0.94,-74.00067139,40.74621964,-73.98643494,40.74335861,7.56
01/09/2015 0:06,01/09/2015 0:11,1.04,-74.00130463,40.73117828,-73.98960114,40.72621155,7.3
01/09/2015 0:06,01/09/2015 0:10,1.22,-73.9462204,40.74564362,-73.95528412,40.73677826,8.84
01/09/2015 0:06,01/09/2015 0:19,4.44,-74.00894928,40.70597076,-73.98815155,40.73794937,21
01/09/2015 0:06,01/09/2015 0:19,7.04,-73.87082672,40.77371597,-73.94465637,40.79254532,32.81
01/09/2015 0:06,01/09/2015 0:20,6.7,-73.98232269,40.77191925,-73.93891907,40.844841,25.56
01/09/2015 0:06,01/09/2015 0:23,4.2,-73.99843597,40.74536514,-73.95639801,40.77139282,20.75
01/09/2015 0:06,01/09/2015 0:11,0.9,-74.01020813,40.72053909,-74.00912476,40.70990753,8.15
01/09/2015 0:06,01/09/2015 0:13,1.59,-73.9990387,40.73926163,-73.97985077,40.7522583,8.3
01/09/2015 0:06,01/09/2015 0:13,1.29,-73.98368073,40.75004578,-73.97727203,40.76427078,9.36
01/09/2015 0:06,01/09/2015 0:12,1.12,-73.99725342,40.72211075,-73.98889923,40.73658371,8.8
01/09/2015 0:06,01/09/2015 0:15,2.2,-73.9888916,40.73658752,-73.96580505,40.75432587,12.35
01/09/2015 0:06,01/09/2015 0:10,1,-73.98291016,40.77424622,-73.97663116,40.78863525,8.16
01/09/2015 0:06,01/09/2015 0:18,1.34,-73.98532867,40.76103973,-73.98879242,40.74819946,10.8
01/09/2015 0:06,01/09/2015 0:15,1.64,-73.94944763,40.70504379,-73.92543793,40.69160843,10.8
01/09/2015 0:06,01/09/2015 0:24,4.2,-73.984375,40.7402153,-73.98258209,40.68631744,20.75
01/09/2015 0:06,01/09/2015 0:10,1.17,-73.99727631,40.72229385,-73.99331665,40.73601151,7.9
01/09/2015 0:06,01/09/2015 0:20,4.03,-73.99172974,40.754879,-73.94796753,40.79140854,17.3
01/09/2015 0:06,01/09/2015 0:09,0.74,-73.98574829,40.74695969,-73.97972107,40.75220108,5.8
01/09/2015 0:06,01/09/2015 0:09,0.75,-73.95974731,40.76588058,-73.96045685,40.75782013,6.8
01/09/2015 0:06,01/09/2015 0:26,8.84,-73.87309265,40.77416992,-73.98120117,40.75605011,41.05
01/09/2015 0:06,01/09/2015 0:16,2.65,-73.98534393,40.72745132,-73.99646759,40.75351334,13.56
01/09/2015 0:06,01/09/2015 0:08,0.37,-73.98802948,40.75434875,-73.98684692,40.75072098,4.3
01/09/2015 0:06,01/09/2015 0:18,2.5,-73.98881531,40.75867844,-74.00804138,40.73973846,11.8
01/09/2015 0:06,01/09/2015 0:12,1.58,-73.94766235,40.77930832,-73.94582367,40.79628754,9.3
01/09/2015 0:06,01/09/2015 0:11,0.8,-73.9331131,40.79510117,-73.94285583,40.79909515,6.8
01/09/2015 0:06,01/09/2015 0:13,1.45,-73.99862671,40.71975327,-73.98199463,40.72856522,9.3
01/09/2015 0:06,01/09/2015 0:16,2.5,-73.97457886,40.79335022,-73.97704315,40.75991058,11.8
01/09/2015 0:06,01/09/2015 0:10,1.09,-74.00673676,40.73585129,-73.99484253,40.74607086,7.56
01/09/2015 0:06,01/09/2015 0:13,1.59,-73.98191833,40.7577095,-73.99138641,40.74237061,11.44
01/09/2015 0:06,01/09/2015 0:12,1.87,-73.98216248,40.75188828,-73.99929047,40.73389053,11.44
01/09/2015 0:06,01/09/2015 0:16,2,-74.00598907,40.74004364,-73.9910965,40.7619133,10.3
01/09/2015 0:06,01/09/2015 0:14,1.3,-73.98748779,40.73331833,-73.97771454,40.72211075,8.3
01/09/2015 0:06,01/09/2015 0:11,0.86,-73.98783875,40.71858978,-73.97870636,40.72423935,6.3
01/09/2015 0:06,01/09/2015 0:15,1.8,-73.97740173,40.77445984,-73.95740509,40.78282166,10.3
01/09/2015 0:06,01/09/2015 0:13,1.75,-74.00627899,40.73367691,-73.99430847,40.75491333,9.3
01/09/2015 0:06,01/09/2015 0:15,4.71,-73.97368622,40.79452515,-73.93985748,40.84596634,16.3
01/09/2015 0:06,01/09/2015 0:09,0.64,-73.89125824,40.74605179,-73.88289642,40.74156952,5.3
01/09/2015 0:06,01/09/2015 0:20,2.6,-73.991539,40.74907303,-73.98262024,40.72414017,12.8
01/09/2015 0:06,01/09/2015 0:33,18.2,-73.78177643,40.64479828,-73.98146057,40.72130585,63.35
01/09/2015 0:06,01/09/2015 0:15,1.1,-73.99019623,40.75701523,-73.98153687,40.74700928,8.3
01/09/2015 0:06,01/09/2015 0:10,0.7,-73.98428345,40.75509262,-73.98617554,40.76233673,6.95
01/09/2015 0:06,01/09/2015 0:35,7.35,-73.99208832,40.74743652,-73.91689301,40.70292282,29.3
01/09/2015 0:06,01/09/2015 0:25,8.54,-73.87081909,40.77370834,-73.98069,40.742939,38.81
01/09/2015 0:06,01/09/2015 0:18,3.1,-73.98978424,40.71399307,-73.94777679,40.69776154,13.3
01/09/2015 0:06,01/09/2015 0:14,1,-73.98217773,40.7627182,-73.98596191,40.75033188,7.8
01/09/2015 0:06,01/09/2015 0:11,0.5,-73.97540283,40.75963974,-73.96788788,40.75577164,7.55
01/09/2015 0:06,01/09/2015 0:15,2.53,-73.97174835,40.75712967,-73.9484024,40.78239059,13.56
01/09/2015 0:06,01/09/2015 0:11,1.19,-73.97857666,40.76422882,-73.98789215,40.77537155,6.8
01/09/2015 0:06,01/09/2015 0:20,3.73,-73.93792725,40.82840729,-73.95323944,40.78525162,17.16
01/09/2015 0:06,01/09/2015 0:23,4.44,-73.97609711,40.74024582,-73.96118164,40.78104019,20.76
01/09/2015 0:07,01/09/2015 0:15,3.6,-73.98986053,40.7141037,-73.95037079,40.72882843,13.3
01/09/2015 0:07,01/09/2015 0:19,2.8,-73.98478699,40.76844406,-74.00808716,40.73866272,14.75
01/09/2015 0:07,01/09/2015 0:18,5.3,-73.77645874,40.64620972,-73.79458618,40.69197083,17.3
01/09/2015 0:07,01/09/2015 0:43,8.55,-73.9828186,40.76311874,-73.90857697,40.69491959,47.89
01/09/2015 0:07,01/09/2015 0:11,0.76,-73.94190216,40.83839035,-73.94875336,40.82902145,8.19
01/09/2015 0:07,01/09/2015 0:15,2.27,-73.97119141,40.75809097,-73.99085236,40.73152161,11.3
01/09/2015 0:07,01/09/2015 0:16,3.17,-73.98593903,40.72682571,-73.95916748,40.76664734,14.75
01/09/2015 0:07,01/09/2015 0:12,1.07,-73.98149109,40.76813126,-73.98999786,40.77473068,8.76
01/09/2015 0:07,01/09/2015 0:15,1.3,-73.99798584,40.72258759,-74.0016861,40.73735428,9.8
01/09/2015 0:07,01/09/2015 0:41,18.7,-73.78186035,40.64493942,-73.99820709,40.7612915,58.34
01/09/2015 0:07,01/09/2015 0:13,0.98,-74.00885773,40.71604156,-74.0076828,40.70571899,7.3
01/09/2015 0:07,01/09/2015 0:14,1.8,-73.9864502,40.72612762,-73.99552155,40.74399948,11.15
01/09/2015 0:07,01/09/2015 0:12,1.55,-73.95948792,40.80119705,-73.974617,40.78825378,8.8
01/09/2015 0:07,01/09/2015 0:15,1.5,-74.00624847,40.7405014,-73.99233246,40.75391006,8.8
01/09/2015 0:07,01/09/2015 0:08,0.61,-73.98799133,40.76489639,-73.99385071,40.75981522,5.3
01/09/2015 0:07,01/09/2015 0:10,0.58,-73.95896912,40.77760696,-73.95385742,40.78472137,6.96
01/09/2015 0:07,01/09/2015 0:16,1.88,-73.98222351,40.7611351,-74.00028992,40.73971558,11.3
01/09/2015 0:07,01/09/2015 0:14,2,-73.99910736,40.75439453,-74.00926971,40.73186874,11
01/09/2015 0:07,01/09/2015 0:14,2.6,-73.97480774,40.74240875,-73.95088959,40.7748642,12.95
01/09/2015 0:07,01/09/2015 0:16,2,-73.99591064,40.76444244,-73.98783112,40.74411392,12.35
01/09/2015 0:07,01/09/2015 0:10,1.05,-73.99451447,40.75587845,-74.00409698,40.74274063,6.3
01/09/2015 0:07,01/09/2015 0:11,0.6,-74.00371552,40.7223053,-73.99491119,40.72095871,6.3
01/09/2015 0:07,01/09/2015 0:18,3.4,-73.98329163,40.75005341,-73.95010376,40.78636932,16.55
01/09/2015 0:07,01/09/2015 0:15,1.99,-73.9537735,40.77923965,-73.97106171,40.7881012,9.8
01/09/2015 0:07,01/09/2015 0:14,1.4,-73.92311096,40.76086044,-73.94339752,40.7468338,8.8
01/09/2015 0:07,01/09/2015 0:23,8,-73.78987885,40.64699554,-73.72961426,40.70458984,24.8
01/09/2015 0:07,01/09/2015 0:20,3.9,-73.99417877,40.74589157,-73.99382782,40.70073318,17.3
01/09/2015 0:07,01/09/2015 0:34,6.97,-73.98088837,40.75415039,-73.93998718,40.70879364,30
01/09/2015 0:07,01/09/2015 0:41,17.52,-73.79138947,40.64574051,-73.97413635,40.76125336,58.34
01/09/2015 0:07,01/09/2015 0:10,1.13,-73.95735931,40.76602936,-73.9647522,40.75543976,6.8
01/09/2015 0:07,01/09/2015 0:17,3.2,-73.98602295,40.72283936,-73.97802734,40.6944313,13.3
01/09/2015 0:07,01/09/2015 0:11,0.9,-73.9719696,40.78214645,-73.95935059,40.77426147,6.8
01/09/2015 0:07,01/09/2015 0:24,5.8,-73.95478058,40.73450089,-73.98614502,40.67861938,20.8
01/09/2015 0:07,01/09/2015 0:38,11.4,-73.86268616,40.7688446,-73.9903183,40.77178192,49.59
01/09/2015 0:07,01/09/2015 0:23,4.25,-73.98200989,40.72111511,-73.9810791,40.67559814,21.84
01/09/2015 0:07,01/09/2015 0:14,1.19,-73.97190857,40.76008987,-73.98594666,40.75231171,9.96
01/09/2015 0:07,01/09/2015 0:15,1.75,-74.00401306,40.72555161,-73.98268127,40.73125076,9.3
01/09/2015 0:07,01/09/2015 0:13,0.98,-73.97621918,40.75133133,-73.98872375,40.74798965,8.76
01/09/2015 0:07,01/09/2015 0:11,1.4,-73.98473358,40.75519943,-73.99868011,40.74002838,9.45
01/09/2015 0:07,01/09/2015 0:25,5.3,-73.98999786,40.73466492,-73.93984985,40.79809189,19.3
01/09/2015 0:07,01/09/2015 0:17,2.13,-73.9821167,40.77240753,-73.96526337,40.75504684,13.5
01/09/2015 0:14,01/09/2015 0:24,1.9,-73.98775482,40.72115326,-74.00173187,40.73564911,11.3
01/09/2015 0:14,01/09/2015 0:28,2.98,-73.92545319,40.69145584,-73.9602356,40.67446136,13.8
01/09/2015 0:14,01/09/2015 0:18,0.87,-73.98638916,40.74143982,-73.97725677,40.75033951,6.3
01/09/2015 0:14,01/09/2015 0:31,3.8,-73.99936676,40.72829819,-73.99610138,40.76741409,21
01/09/2015 0:14,01/09/2015 0:24,2.18,-73.96797943,40.80006027,-73.93971252,40.79021835,12.3
01/09/2015 0:14,01/09/2015 0:23,2.77,-73.97755432,40.78683853,-73.94564819,40.79883194,11.3
01/09/2015 0:14,01/09/2015 0:25,1.9,-73.97702026,40.74748993,-73.99056244,40.76334,12.36
01/09/2015 0:14,01/09/2015 0:24,4.47,-73.78209686,40.64471054,-73.77046967,40.68117142,19.75
